protein,country,collectionDate,cov_ClustalOmega,pid_ClustalOmega,cov_webPRANK,pid_webPRANK,cov_MUSCLE,pid_MUSCLE
E,USA-IL,28-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,USA-Illinois,21-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,USA-MA,29-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,USA-TX,11-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,USA-WA,25-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,USA-WI,31-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,Vietnam,10-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,Australia-Victoria,25-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,Brazil,28-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,China,11-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,China,08-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,China,02-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,China,01-Dec-19,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,China-GuangdongGuangzhou,05-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,China-Guangzhou,29-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,China-Guangzhou,27-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,China-Hangzhou,20-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,China-Hubei-Wuhan,01-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,China-Hubei-Wuhan,23-Dec-19,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,China-Shenzhen,10-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,China-Wuhan,30-Dec-19,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,China-Yunnan,17-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,Finland,29-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,Italy-Rome,01-Jan-20,0.4820,1.0000,0.4820,1.0000,0.4820,1.0000
M,Japan,10-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,MERSctrl SaudiArabia,01-May-13,0.9860,0.3940,0.9730,0.4000,0.9860,0.3940
M,MERSctrl UnitedArabEmirates,05-Jul-05,0.9860,0.3940,0.9730,0.4000,0.9860,0.3940
M,Nepal,13-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,SouthKorea,01-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,Sweden,07-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,Taiwan,05-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,Taiwan,31-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,USA,19-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,USA-AZ,22-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,USA-CA,23-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,USA-CA,10-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,USA-CA,06-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,USA-CA,27-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,USA-CA,23-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,USA-CA,22-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,USA-IL,28-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,USA-Illinois,21-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,USA-MA,29-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,USA-TX,11-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,USA-WA,25-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,USA-WI,31-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
M,Vietnam,10-Feb-20,1.0000,0.9910,1.0000,0.9910,1.0000,0.9910
N,Australia-Victoria,25-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,Brazil,28-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,China,11-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,China,08-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,China,02-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,China,01-Dec-19,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000
N,China-GuangdongGuangzhou,05-Feb-20,1.0000,0.9980,1.0000,0.9980,1.0000,0.9980
N,China-Guangzhou,29-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,China-Guangzhou,27-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,China-Hangzhou,20-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,China-HuaShang,06-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,China-HuaShang,31-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,China-HuaShang,30-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,China-HuaShang,28-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,China-HuaShang,26-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,China-HuaShang,25-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,China-HuaShang,23-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,China-HuaShang,22-Jan-20,1.0000,0.9980,1.0000,0.9980,1.0000,0.9980
N,China-Hubei-Wuhan,01-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,China-Hubei-Wuhan,23-Dec-19,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,China-Shenzhen,10-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,China-Wuhan,30-Dec-19,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,China-Yunnan,17-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,Finland,29-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,Japan,10-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,MERSctrl SaudiArabia,01-May-13,0.9330,0.4610,0.9190,0.4610,0.9470,0.4640
N,MERSctrl UnitedArabEmirates,05-Jul-05,0.9330,0.4610,0.9190,0.4610,0.9470,0.4640
N,Nepal,13-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,Philippines,06-Feb-20,0.2840,1.0000,0.2840,1.0000,0.2840,1.0000
N,Philippines,26-Jan-20,0.2840,1.0000,0.2840,1.0000,0.2840,1.0000
N,Philippines,23-Jan-20,0.2840,1.0000,0.2840,1.0000,0.2840,1.0000
N,SouthKorea,01-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,Sweden,07-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,Taiwan,05-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,Taiwan,31-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,USA,19-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,USA-AZ,22-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,USA-CA,23-Feb-20,1.0000,0.9980,1.0000,0.9980,1.0000,0.9980
N,USA-CA,10-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,USA-CA,06-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,USA-CA,27-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,USA-CA,23-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,USA-CA,22-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,USA-IL,28-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,USA-Illinois,21-Jan-20,1.0000,0.9980,1.0000,0.9980,1.0000,0.9980
N,USA-MA,29-Jan-20,1.0000,0.9980,1.0000,0.9980,1.0000,0.9980
N,USA-TX,11-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,USA-WA,25-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,USA-WI,31-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
N,Vietnam,10-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,China-Yunnan,17-Jan-20,0.6210,0.9990,0.6210,0.9140,0.6210,0.7320
ORF1AB,Finland,29-Jan-20,0.6190,0.9960,0.6190,0.9120,0.6190,0.7300
ORF1AB,MERSctrl SaudiArabia,01-May-13,0.5820,0.3170,0.5720,0.2180,0.5850,0.2110
ORF1AB,MERSctrl UnitedArabEmirates,05-Jul-05,0.5820,0.3180,0.5720,0.2180,0.5850,0.2110
ORF1AB,Australia-Victoria,25-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,Brazil,28-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,China,11-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,China,08-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,China,02-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,China,01-Dec-19,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,China-GuangdongGuangzhou,05-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,China-Guangzhou,29-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,China-Guangzhou,27-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,China-Hangzhou,20-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,China-Hubei-Wuhan,01-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,China-Hubei-Wuhan,23-Dec-19,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,China-Shenzhen,10-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,China-Wuhan,30-Dec-19,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,China-Yunnan,17-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,Finland,29-Jan-20,0.9980,0.9980,0.9980,0.9980,0.9980,0.9980
ORF1AB,Japan,10-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,MERSctrl SaudiArabia,01-May-13,0.9590,0.4440,0.9480,0.4560,0.9620,0.4500
ORF1AB,MERSctrl UnitedArabEmirates,05-Jul-05,0.9590,0.4440,0.9480,0.4560,0.9620,0.4500
ORF1AB,Nepal,13-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,SouthKorea,01-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,Sweden,07-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,Taiwan,05-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,Taiwan,31-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,USA,19-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,USA-AZ,22-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,USA-CA,23-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,USA-CA,10-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,USA-CA,06-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,USA-CA,27-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,USA-CA,23-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,USA-CA,22-Jan-20,0.9990,0.9990,0.9990,0.9990,0.9990,0.9980
ORF1AB,USA-IL,28-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,USA-Illinois,21-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,USA-MA,29-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,USA-TX,11-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,USA-WA,25-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF1AB,USA-WI,31-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,China-Shenzhen,10-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,MERSctrl SaudiArabia,01-May-13,0.3560,0.1380,0.3420,0.1140,0.3750,0.1110
ORF3a,MERSctrl UnitedArabEmirates,05-Jul-05,0.3560,0.1380,0.3420,0.1180,0.3750,0.1150
ORF3a,Australia-Queensland,01-Feb-20,0.4000,1.0000,0.4000,1.0000,0.4000,1.0000
ORF3a,Australia-Victoria,25-Jan-20,1.0000,0.9960,1.0000,0.9960,1.0000,0.9960
ORF3a,Brazil,28-Feb-20,1.0000,0.9960,1.0000,0.9960,1.0000,0.9960
ORF3a,China,11-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,China,01-Dec-19,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,China-GuangdongGuangzhou,05-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,China-Guangzhou,29-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,China-Guangzhou,27-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,China-Hangzhou,20-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,China-Hubei-Wuhan,01-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,China-Hubei-Wuhan,23-Dec-19,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,China-Yunnan,17-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,Finland,29-Jan-20,0.9380,0.9380,0.9380,0.9380,0.9380,0.9380
ORF3a,Japan,10-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,Nepal,13-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,SouthKorea,01-Jan-20,1.0000,0.9930,1.0000,0.9930,1.0000,0.9930
ORF3a,Sweden,07-Feb-20,1.0000,0.9960,1.0000,0.9960,1.0000,0.9960
ORF3a,Taiwan,05-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,Taiwan,31-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,USA,19-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,USA-AZ,22-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,USA-CA,23-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,USA-CA,10-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,USA-CA,06-Feb-20,1.0000,0.9960,1.0000,0.9960,1.0000,0.9960
ORF3a,USA-CA,27-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,USA-CA,23-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,USA-CA,22-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,USA-IL,28-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,USA-Illinois,21-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,USA-MA,29-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,USA-TX,11-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,USA-WA,25-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF3a,USA-WI,31-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF8,Australia-Victoria,25-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF8,Brazil,28-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF8,China,11-Jan-20,1.0000,0.9920,1.0000,0.9920,1.0000,0.9920
ORF8,China,01-Dec-19,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF8,China-GuangdongGuangzhou,05-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF8,China-Guangzhou,29-Jan-20,1.0000,0.9920,1.0000,0.9920,1.0000,0.9920
ORF8,China-Guangzhou,27-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF8,China-Hangzhou,20-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF8,China-Hubei-Wuhan,01-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF8,China-Hubei-Wuhan,23-Dec-19,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF8,China-Shenzhen,10-Jan-20,1.0000,0.9920,1.0000,0.9920,1.0000,0.9920
ORF8,China-Yunnan,17-Jan-20,1.0000,0.9920,1.0000,0.9920,1.0000,0.9920
ORF8,Finland,29-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF8,Japan,10-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF8,MERSctrl SaudiArabia,01-May-13,0.5870,0.1350,0.6690,0.1710,0.8680,0.1790
ORF8,MERSctrl UnitedArabEmirates,05-Jul-05,0.5870,0.1350,0.6690,0.1710,0.8680,0.1790
ORF8,Nepal,13-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF8,SouthKorea,01-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF8,Sweden,07-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF8,Taiwan,05-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF8,Taiwan,31-Jan-20,1.0000,0.9920,1.0000,0.9920,1.0000,0.9920
ORF8,USA,19-Jan-20,1.0000,0.9920,1.0000,0.9920,1.0000,0.9920
ORF8,USA-AZ,22-Jan-20,1.0000,0.9920,1.0000,0.9920,1.0000,0.9920
ORF8,USA-CA,23-Feb-20,1.0000,0.9920,1.0000,0.9920,1.0000,0.9920
ORF8,USA-CA,10-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF8,USA-CA,06-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF8,USA-CA,27-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF8,USA-CA,23-Jan-20,1.0000,0.9830,1.0000,0.9830,1.0000,0.9830
ORF8,USA-CA,22-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF8,USA-IL,28-Jan-20,1.0000,0.9830,1.0000,0.9830,1.0000,0.9830
ORF8,USA-Illinois,21-Jan-20,1.0000,0.9830,1.0000,0.9830,1.0000,0.9830
ORF8,USA-MA,29-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ORF8,USA-TX,11-Feb-20,1.0000,0.9830,1.0000,0.9830,1.0000,0.9830
ORF8,USA-WA,25-Jan-20,1.0000,0.9920,1.0000,0.9920,1.0000,0.9920
ORF8,USA-WI,31-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,Australia-Victoria,25-Jan-20,1.0000,0.9990,1.0000,0.9990,1.0000,0.9990
S,Brazil,28-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,China,11-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,China,08-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,China,02-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,China-GuangdongGuangzhou,05-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,China-Guangzhou,29-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,China-Guangzhou,27-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,China-Hangzhou,20-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,China-Hubei-Wuhan,01-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,China-Hubei-Wuhan,23-Dec-19,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,China-Shenzhen,10-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,China-Wuhan,30-Dec-19,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,China-Yunnan,17-Jan-20,1.0000,0.9990,1.0000,0.9990,1.0000,0.9990
S,Finland,29-Jan-20,0.9780,0.9780,0.9780,0.9780,0.9780,0.9780
S,Japan,10-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,MERSctrl SaudiArabia,01-May-13,0.9650,0.2890,0.9330,0.3090,0.9640,0.2970
S,MERSctrl UnitedArabEmirates,05-Jul-05,0.9650,0.2890,0.9330,0.3080,0.9640,0.2960
S,Nepal,13-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,SouthKorea,01-Jan-20,1.0000,0.9990,1.0000,0.9990,1.0000,0.9990
S,Sweden,07-Feb-20,1.0000,0.9990,1.0000,0.9990,1.0000,0.9990
S,Taiwan,05-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,Taiwan,31-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,USA,19-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,USA-AZ,22-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,USA-CA,23-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,USA-CA,10-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,USA-CA,06-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,USA-CA,27-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,USA-CA,23-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,USA-CA,22-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,USA-IL,28-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,USA-Illinois,21-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,USA-MA,29-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,USA-TX,11-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,USA-WA,25-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
S,USA-WI,31-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
