protein,country,collectionDate,tool,cov,pid
E,USA-AZ,22-Jan-20,ClustalOmega,1,1
E,USA-AZ,22-Jan-20,MUSCLE,1,1
E,USA-AZ,22-Jan-20,webPRANK,1,1
E,USA-CA,22-Jan-20,ClustalOmega,1,1
E,USA-CA,22-Jan-20,MUSCLE,1,1
E,USA-CA,22-Jan-20,webPRANK,1,1
E,USA-CA,23-Jan-20,ClustalOmega,1,1
E,USA-CA,23-Jan-20,MUSCLE,1,1
E,USA-CA,23-Jan-20,webPRANK,1,1
E,USA-CA,27-Jan-20,ClustalOmega,1,1
E,USA-CA,27-Jan-20,MUSCLE,1,1
E,USA-CA,27-Jan-20,webPRANK,1,1
E,USA-CA,06-Feb-20,ClustalOmega,1,1
E,USA-CA,06-Feb-20,MUSCLE,1,1
E,USA-CA,06-Feb-20,webPRANK,1,1
E,USA-CA,10-Feb-20,ClustalOmega,1,1
E,USA-CA,10-Feb-20,MUSCLE,1,1
E,USA-CA,10-Feb-20,webPRANK,1,1
E,USA-CA,23-Feb-20,ClustalOmega,1,1
E,USA-CA,23-Feb-20,MUSCLE,1,1
E,USA-CA,23-Feb-20,webPRANK,1,1
E,USA-IL,28-Jan-20,ClustalOmega,1,1
E,USA-IL,28-Jan-20,MUSCLE,1,1
E,USA-IL,28-Jan-20,webPRANK,1,1
E,USA-Illinois,21-Jan-20,ClustalOmega,1,1
E,USA-Illinois,21-Jan-20,MUSCLE,1,1
E,USA-Illinois,21-Jan-20,webPRANK,1,1
E,USA-MA,29-Jan-20,ClustalOmega,1,1
E,USA-MA,29-Jan-20,MUSCLE,1,1
E,USA-MA,29-Jan-20,webPRANK,1,1
E,USA-TX,11-Feb-20,ClustalOmega,1,1
E,USA-TX,11-Feb-20,MUSCLE,1,1
E,USA-TX,11-Feb-20,webPRANK,1,1
E,USA-WA,25-Jan-20,ClustalOmega,1,1
E,USA-WA,25-Jan-20,MUSCLE,1,1
E,USA-WA,25-Jan-20,webPRANK,1,1
E,USA-WI,31-Jan-20,ClustalOmega,1,1
E,USA-WI,31-Jan-20,MUSCLE,1,1
E,USA-WI,31-Jan-20,webPRANK,1,1
E,Vietnam,10-Feb-20,ClustalOmega,1,1
E,Vietnam,10-Feb-20,MUSCLE,1,1
E,Vietnam,10-Feb-20,webPRANK,1,1
M,Australia-Victoria,25-Jan-20,ClustalOmega,1,1
M,Australia-Victoria,25-Jan-20,MUSCLE,1,1
M,Australia-Victoria,25-Jan-20,webPRANK,1,1
M,Brazil,28-Feb-20,ClustalOmega,1,1
M,Brazil,28-Feb-20,MUSCLE,1,1
M,Brazil,28-Feb-20,webPRANK,1,1
M,China,01-Dec-19,ClustalOmega,1,1
M,China,01-Dec-19,MUSCLE,1,1
M,China,01-Dec-19,webPRANK,1,1
M,China,02-Jan-20,ClustalOmega,1,1
M,China,02-Jan-20,MUSCLE,1,1
M,China,02-Jan-20,webPRANK,1,1
M,China,08-Jan-20,ClustalOmega,1,1
M,China,08-Jan-20,MUSCLE,1,1
M,China,08-Jan-20,webPRANK,1,1
M,China,11-Jan-20,ClustalOmega,1,1
M,China,11-Jan-20,MUSCLE,1,1
M,China,11-Jan-20,webPRANK,1,1
M,China-GuangdongGuangzhou,05-Feb-20,ClustalOmega,1,1
M,China-GuangdongGuangzhou,05-Feb-20,MUSCLE,1,1
M,China-GuangdongGuangzhou,05-Feb-20,webPRANK,1,1
M,China-Guangzhou,27-Jan-20,ClustalOmega,1,1
M,China-Guangzhou,27-Jan-20,MUSCLE,1,1
M,China-Guangzhou,27-Jan-20,webPRANK,1,1
M,China-Guangzhou,29-Jan-20,ClustalOmega,1,1
M,China-Guangzhou,29-Jan-20,MUSCLE,1,1
M,China-Guangzhou,29-Jan-20,webPRANK,1,1
M,China-Hangzhou,20-Jan-20,ClustalOmega,1,1
M,China-Hangzhou,20-Jan-20,MUSCLE,1,1
M,China-Hangzhou,20-Jan-20,webPRANK,1,1
M,China-Hubei-Wuhan,23-Dec-19,ClustalOmega,1,1
M,China-Hubei-Wuhan,23-Dec-19,MUSCLE,1,1
M,China-Hubei-Wuhan,23-Dec-19,webPRANK,1,1
M,China-Hubei-Wuhan,01-Jan-20,ClustalOmega,1,1
M,China-Hubei-Wuhan,01-Jan-20,MUSCLE,1,1
M,China-Hubei-Wuhan,01-Jan-20,webPRANK,1,1
M,China-Shenzhen,10-Jan-20,ClustalOmega,1,1
M,China-Shenzhen,10-Jan-20,MUSCLE,1,1
M,China-Shenzhen,10-Jan-20,webPRANK,1,1
M,China-Wuhan,30-Dec-19,ClustalOmega,1,1
M,China-Wuhan,30-Dec-19,MUSCLE,1,1
M,China-Wuhan,30-Dec-19,webPRANK,1,1
M,China-Yunnan,17-Jan-20,ClustalOmega,1,1
M,China-Yunnan,17-Jan-20,MUSCLE,1,1
M,China-Yunnan,17-Jan-20,webPRANK,1,1
M,Finland,29-Jan-20,ClustalOmega,1,1
M,Finland,29-Jan-20,MUSCLE,1,1
M,Finland,29-Jan-20,webPRANK,1,1
M,Italy-Rome,01-Jan-20,ClustalOmega,0.482,1
M,Italy-Rome,01-Jan-20,MUSCLE,0.482,1
M,Italy-Rome,01-Jan-20,webPRANK,0.482,1
M,Japan,10-Feb-20,ClustalOmega,1,1
M,Japan,10-Feb-20,MUSCLE,1,1
M,Japan,10-Feb-20,webPRANK,1,1
M,MERSctrl SaudiArabia,01-May-13,ClustalOmega,0.986,0.394
M,MERSctrl SaudiArabia,01-May-13,MUSCLE,0.986,0.394
M,MERSctrl SaudiArabia,01-May-13,webPRANK,0.973,0.4
M,MERSctrl UnitedArabEmirates,05-Jul-05,ClustalOmega,0.986,0.394
M,MERSctrl UnitedArabEmirates,05-Jul-05,MUSCLE,0.986,0.394
M,MERSctrl UnitedArabEmirates,05-Jul-05,webPRANK,0.973,0.4
M,Nepal,13-Jan-20,ClustalOmega,1,1
M,Nepal,13-Jan-20,MUSCLE,1,1
M,Nepal,13-Jan-20,webPRANK,1,1
M,SouthKorea,01-Jan-20,ClustalOmega,1,1
M,SouthKorea,01-Jan-20,MUSCLE,1,1
M,SouthKorea,01-Jan-20,webPRANK,1,1
M,Sweden,07-Feb-20,ClustalOmega,1,1
M,Sweden,07-Feb-20,MUSCLE,1,1
M,Sweden,07-Feb-20,webPRANK,1,1
M,Taiwan,31-Jan-20,ClustalOmega,1,1
M,Taiwan,31-Jan-20,MUSCLE,1,1
M,Taiwan,31-Jan-20,webPRANK,1,1
M,Taiwan,05-Feb-20,ClustalOmega,1,1
M,Taiwan,05-Feb-20,MUSCLE,1,1
M,Taiwan,05-Feb-20,webPRANK,1,1
M,USA,19-Jan-20,ClustalOmega,1,1
M,USA,19-Jan-20,MUSCLE,1,1
M,USA,19-Jan-20,webPRANK,1,1
M,USA-AZ,22-Jan-20,ClustalOmega,1,1
M,USA-AZ,22-Jan-20,MUSCLE,1,1
M,USA-AZ,22-Jan-20,webPRANK,1,1
M,USA-CA,22-Jan-20,ClustalOmega,1,1
M,USA-CA,22-Jan-20,MUSCLE,1,1
M,USA-CA,22-Jan-20,webPRANK,1,1
M,USA-CA,23-Jan-20,ClustalOmega,1,1
M,USA-CA,23-Jan-20,MUSCLE,1,1
M,USA-CA,23-Jan-20,webPRANK,1,1
M,USA-CA,27-Jan-20,ClustalOmega,1,1
M,USA-CA,27-Jan-20,MUSCLE,1,1
M,USA-CA,27-Jan-20,webPRANK,1,1
M,USA-CA,06-Feb-20,ClustalOmega,1,1
M,USA-CA,06-Feb-20,MUSCLE,1,1
M,USA-CA,06-Feb-20,webPRANK,1,1
M,USA-CA,10-Feb-20,ClustalOmega,1,1
M,USA-CA,10-Feb-20,MUSCLE,1,1
M,USA-CA,10-Feb-20,webPRANK,1,1
M,USA-CA,23-Feb-20,ClustalOmega,1,1
M,USA-CA,23-Feb-20,MUSCLE,1,1
M,USA-CA,23-Feb-20,webPRANK,1,1
M,USA-IL,28-Jan-20,ClustalOmega,1,1
M,USA-IL,28-Jan-20,MUSCLE,1,1
M,USA-IL,28-Jan-20,webPRANK,1,1
M,USA-Illinois,21-Jan-20,ClustalOmega,1,1
M,USA-Illinois,21-Jan-20,MUSCLE,1,1
M,USA-Illinois,21-Jan-20,webPRANK,1,1
M,USA-MA,29-Jan-20,ClustalOmega,1,1
M,USA-MA,29-Jan-20,MUSCLE,1,1
M,USA-MA,29-Jan-20,webPRANK,1,1
M,USA-TX,11-Feb-20,ClustalOmega,1,1
M,USA-TX,11-Feb-20,MUSCLE,1,1
M,USA-TX,11-Feb-20,webPRANK,1,1
M,USA-WA,25-Jan-20,ClustalOmega,1,1
M,USA-WA,25-Jan-20,MUSCLE,1,1
M,USA-WA,25-Jan-20,webPRANK,1,1
M,USA-WI,31-Jan-20,ClustalOmega,1,1
M,USA-WI,31-Jan-20,MUSCLE,1,1
M,USA-WI,31-Jan-20,webPRANK,1,1
M,Vietnam,10-Feb-20,ClustalOmega,1,0.991
M,Vietnam,10-Feb-20,MUSCLE,1,0.991
M,Vietnam,10-Feb-20,webPRANK,1,0.991
N,Australia-Victoria,25-Jan-20,ClustalOmega,1,1
N,Australia-Victoria,25-Jan-20,MUSCLE,1,1
N,Australia-Victoria,25-Jan-20,webPRANK,1,1
N,Brazil,28-Feb-20,ClustalOmega,1,1
N,Brazil,28-Feb-20,MUSCLE,1,1
N,Brazil,28-Feb-20,webPRANK,1,1
N,China,01-Dec-19,ClustalOmega,1,1
N,China,01-Dec-19,MUSCLE,1,1
N,China,01-Dec-19,webPRANK,1,1
N,China,02-Jan-20,ClustalOmega,1,1
N,China,02-Jan-20,MUSCLE,1,1
N,China,02-Jan-20,webPRANK,1,1
N,China,08-Jan-20,ClustalOmega,1,1
N,China,08-Jan-20,MUSCLE,1,1
N,China,08-Jan-20,webPRANK,1,1
N,China,11-Jan-20,ClustalOmega,1,1
N,China,11-Jan-20,MUSCLE,1,1
N,China,11-Jan-20,webPRANK,1,1
N,China-GuangdongGuangzhou,05-Feb-20,ClustalOmega,1,0.998
N,China-GuangdongGuangzhou,05-Feb-20,MUSCLE,1,0.998
N,China-GuangdongGuangzhou,05-Feb-20,webPRANK,1,0.998
N,China-Guangzhou,27-Jan-20,ClustalOmega,1,1
N,China-Guangzhou,27-Jan-20,MUSCLE,1,1
N,China-Guangzhou,27-Jan-20,webPRANK,1,1
N,China-Guangzhou,29-Jan-20,ClustalOmega,1,1
N,China-Guangzhou,29-Jan-20,MUSCLE,1,1
N,China-Guangzhou,29-Jan-20,webPRANK,1,1
N,China-Hangzhou,20-Jan-20,ClustalOmega,1,1
N,China-Hangzhou,20-Jan-20,MUSCLE,1,1
N,China-Hangzhou,20-Jan-20,webPRANK,1,1
N,China-HuaShang,22-Jan-20,ClustalOmega,1,0.998
N,China-HuaShang,22-Jan-20,MUSCLE,1,0.998
N,China-HuaShang,22-Jan-20,webPRANK,1,0.998
N,China-HuaShang,23-Jan-20,ClustalOmega,1,1
N,China-HuaShang,23-Jan-20,MUSCLE,1,1
N,China-HuaShang,23-Jan-20,webPRANK,1,1
N,China-HuaShang,25-Jan-20,ClustalOmega,1,1
N,China-HuaShang,25-Jan-20,MUSCLE,1,1
N,China-HuaShang,25-Jan-20,webPRANK,1,1
N,China-HuaShang,26-Jan-20,ClustalOmega,1,1
N,China-HuaShang,26-Jan-20,MUSCLE,1,1
N,China-HuaShang,26-Jan-20,webPRANK,1,1
N,China-HuaShang,28-Jan-20,ClustalOmega,1,1
N,China-HuaShang,28-Jan-20,MUSCLE,1,1
N,China-HuaShang,28-Jan-20,webPRANK,1,1
N,China-HuaShang,30-Jan-20,ClustalOmega,1,1
N,China-HuaShang,30-Jan-20,MUSCLE,1,1
N,China-HuaShang,30-Jan-20,webPRANK,1,1
N,China-HuaShang,31-Jan-20,ClustalOmega,1,1
N,China-HuaShang,31-Jan-20,MUSCLE,1,1
N,China-HuaShang,31-Jan-20,webPRANK,1,1
N,China-HuaShang,06-Feb-20,ClustalOmega,1,1
N,China-HuaShang,06-Feb-20,MUSCLE,1,1
N,China-HuaShang,06-Feb-20,webPRANK,1,1
N,China-Hubei-Wuhan,23-Dec-19,ClustalOmega,1,1
N,China-Hubei-Wuhan,23-Dec-19,MUSCLE,1,1
N,China-Hubei-Wuhan,23-Dec-19,webPRANK,1,1
N,China-Hubei-Wuhan,01-Jan-20,ClustalOmega,1,1
N,China-Hubei-Wuhan,01-Jan-20,MUSCLE,1,1
N,China-Hubei-Wuhan,01-Jan-20,webPRANK,1,1
N,China-Shenzhen,10-Jan-20,ClustalOmega,1,1
N,China-Shenzhen,10-Jan-20,MUSCLE,1,1
N,China-Shenzhen,10-Jan-20,webPRANK,1,1
N,China-Wuhan,30-Dec-19,ClustalOmega,1,1
N,China-Wuhan,30-Dec-19,MUSCLE,1,1
N,China-Wuhan,30-Dec-19,webPRANK,1,1
N,China-Yunnan,17-Jan-20,ClustalOmega,1,1
N,China-Yunnan,17-Jan-20,MUSCLE,1,1
N,China-Yunnan,17-Jan-20,webPRANK,1,1
N,Finland,29-Jan-20,ClustalOmega,1,1
N,Finland,29-Jan-20,MUSCLE,1,1
N,Finland,29-Jan-20,webPRANK,1,1
N,Japan,10-Feb-20,ClustalOmega,1,1
N,Japan,10-Feb-20,MUSCLE,1,1
N,Japan,10-Feb-20,webPRANK,1,1
N,MERSctrl SaudiArabia,01-May-13,ClustalOmega,0.933,0.461
N,MERSctrl SaudiArabia,01-May-13,MUSCLE,0.947,0.464
N,MERSctrl SaudiArabia,01-May-13,webPRANK,0.919,0.461
N,MERSctrl UnitedArabEmirates,05-Jul-05,ClustalOmega,0.933,0.461
N,MERSctrl UnitedArabEmirates,05-Jul-05,MUSCLE,0.947,0.464
N,MERSctrl UnitedArabEmirates,05-Jul-05,webPRANK,0.919,0.461
N,Nepal,13-Jan-20,ClustalOmega,1,1
N,Nepal,13-Jan-20,MUSCLE,1,1
N,Nepal,13-Jan-20,webPRANK,1,1
N,Philippines,23-Jan-20,ClustalOmega,0.284,1
N,Philippines,23-Jan-20,MUSCLE,0.284,1
N,Philippines,23-Jan-20,webPRANK,0.284,1
N,Philippines,26-Jan-20,ClustalOmega,0.284,1
N,Philippines,26-Jan-20,MUSCLE,0.284,1
N,Philippines,26-Jan-20,webPRANK,0.284,1
N,Philippines,06-Feb-20,ClustalOmega,0.284,1
N,Philippines,06-Feb-20,MUSCLE,0.284,1
N,Philippines,06-Feb-20,webPRANK,0.284,1
N,SouthKorea,01-Jan-20,ClustalOmega,1,1
N,SouthKorea,01-Jan-20,MUSCLE,1,1
N,SouthKorea,01-Jan-20,webPRANK,1,1
N,Sweden,07-Feb-20,ClustalOmega,1,1
N,Sweden,07-Feb-20,MUSCLE,1,1
N,Sweden,07-Feb-20,webPRANK,1,1
N,Taiwan,31-Jan-20,ClustalOmega,1,1
N,Taiwan,31-Jan-20,MUSCLE,1,1
N,Taiwan,31-Jan-20,webPRANK,1,1
N,Taiwan,05-Feb-20,ClustalOmega,1,1
N,Taiwan,05-Feb-20,MUSCLE,1,1
N,Taiwan,05-Feb-20,webPRANK,1,1
N,USA,19-Jan-20,ClustalOmega,1,1
N,USA,19-Jan-20,MUSCLE,1,1
N,USA,19-Jan-20,webPRANK,1,1
N,USA-AZ,22-Jan-20,ClustalOmega,1,1
N,USA-AZ,22-Jan-20,MUSCLE,1,1
N,USA-AZ,22-Jan-20,webPRANK,1,1
N,USA-CA,22-Jan-20,ClustalOmega,1,1
N,USA-CA,22-Jan-20,MUSCLE,1,1
N,USA-CA,22-Jan-20,webPRANK,1,1
N,USA-CA,23-Jan-20,ClustalOmega,1,1
N,USA-CA,23-Jan-20,MUSCLE,1,1
N,USA-CA,23-Jan-20,webPRANK,1,1
N,USA-CA,27-Jan-20,ClustalOmega,1,1
N,USA-CA,27-Jan-20,MUSCLE,1,1
N,USA-CA,27-Jan-20,webPRANK,1,1
N,USA-CA,06-Feb-20,ClustalOmega,1,1
N,USA-CA,06-Feb-20,MUSCLE,1,1
N,USA-CA,06-Feb-20,webPRANK,1,1
N,USA-CA,10-Feb-20,ClustalOmega,1,1
N,USA-CA,10-Feb-20,MUSCLE,1,1
N,USA-CA,10-Feb-20,webPRANK,1,1
N,USA-CA,23-Feb-20,ClustalOmega,1,0.998
N,USA-CA,23-Feb-20,MUSCLE,1,0.998
N,USA-CA,23-Feb-20,webPRANK,1,0.998
N,USA-IL,28-Jan-20,ClustalOmega,1,1
N,USA-IL,28-Jan-20,MUSCLE,1,1
N,USA-IL,28-Jan-20,webPRANK,1,1
N,USA-Illinois,21-Jan-20,ClustalOmega,1,0.998
N,USA-Illinois,21-Jan-20,MUSCLE,1,0.998
N,USA-Illinois,21-Jan-20,webPRANK,1,0.998
N,USA-MA,29-Jan-20,ClustalOmega,1,0.998
N,USA-MA,29-Jan-20,MUSCLE,1,0.998
N,USA-MA,29-Jan-20,webPRANK,1,0.998
N,USA-TX,11-Feb-20,ClustalOmega,1,1
N,USA-TX,11-Feb-20,MUSCLE,1,1
N,USA-TX,11-Feb-20,webPRANK,1,1
N,USA-WA,25-Jan-20,ClustalOmega,1,1
N,USA-WA,25-Jan-20,MUSCLE,1,1
N,USA-WA,25-Jan-20,webPRANK,1,1
N,USA-WI,31-Jan-20,ClustalOmega,1,1
N,USA-WI,31-Jan-20,MUSCLE,1,1
N,USA-WI,31-Jan-20,webPRANK,1,1
N,Vietnam,10-Feb-20,ClustalOmega,1,1
N,Vietnam,10-Feb-20,MUSCLE,1,1
N,Vietnam,10-Feb-20,webPRANK,1,1
ORF1AB,Australia-Victoria,25-Jan-20,ClustalOmega,1,1
ORF1AB,Australia-Victoria,25-Jan-20,MUSCLE,1,1
ORF1AB,Australia-Victoria,25-Jan-20,webPRANK,1,1
ORF1AB,Brazil,28-Feb-20,ClustalOmega,1,1
ORF1AB,Brazil,28-Feb-20,MUSCLE,1,1
ORF1AB,Brazil,28-Feb-20,webPRANK,1,1
ORF1AB,China,01-Dec-19,ClustalOmega,1,1
ORF1AB,China,01-Dec-19,MUSCLE,1,1
ORF1AB,China,01-Dec-19,webPRANK,1,1
ORF1AB,China,02-Jan-20,ClustalOmega,1,1
ORF1AB,China,02-Jan-20,MUSCLE,1,1
ORF1AB,China,02-Jan-20,webPRANK,1,1
ORF1AB,China,08-Jan-20,ClustalOmega,1,1
ORF1AB,China,08-Jan-20,MUSCLE,1,1
ORF1AB,China,08-Jan-20,webPRANK,1,1
ORF1AB,China,11-Jan-20,ClustalOmega,1,1
ORF1AB,China,11-Jan-20,MUSCLE,1,1
ORF1AB,China,11-Jan-20,webPRANK,1,1
ORF1AB,China-GuangdongGuangzhou,05-Feb-20,ClustalOmega,1,1
ORF1AB,China-GuangdongGuangzhou,05-Feb-20,MUSCLE,1,1
ORF1AB,China-GuangdongGuangzhou,05-Feb-20,webPRANK,1,1
ORF1AB,China-Guangzhou,27-Jan-20,ClustalOmega,1,1
ORF1AB,China-Guangzhou,27-Jan-20,MUSCLE,1,1
ORF1AB,China-Guangzhou,27-Jan-20,webPRANK,1,1
ORF1AB,China-Guangzhou,29-Jan-20,ClustalOmega,1,1
ORF1AB,China-Guangzhou,29-Jan-20,MUSCLE,1,1
ORF1AB,China-Guangzhou,29-Jan-20,webPRANK,1,1
ORF1AB,China-Hangzhou,20-Jan-20,ClustalOmega,1,1
ORF1AB,China-Hangzhou,20-Jan-20,MUSCLE,1,1
ORF1AB,China-Hangzhou,20-Jan-20,webPRANK,1,1
ORF1AB,China-Hubei-Wuhan,23-Dec-19,ClustalOmega,1,1
ORF1AB,China-Hubei-Wuhan,23-Dec-19,MUSCLE,1,1
ORF1AB,China-Hubei-Wuhan,23-Dec-19,webPRANK,1,1
ORF1AB,China-Hubei-Wuhan,01-Jan-20,ClustalOmega,1,1
ORF1AB,China-Hubei-Wuhan,01-Jan-20,MUSCLE,1,1
ORF1AB,China-Hubei-Wuhan,01-Jan-20,webPRANK,1,1
ORF1AB,China-Shenzhen,10-Jan-20,ClustalOmega,1,1
ORF1AB,China-Shenzhen,10-Jan-20,MUSCLE,1,1
ORF1AB,China-Shenzhen,10-Jan-20,webPRANK,1,1
ORF1AB,China-Wuhan,30-Dec-19,ClustalOmega,1,1
ORF1AB,China-Wuhan,30-Dec-19,MUSCLE,1,1
ORF1AB,China-Wuhan,30-Dec-19,webPRANK,1,1
ORF1AB,China-Yunnan,17-Jan-20,ClustalOmega,0.621,0.999
ORF1AB,China-Yunnan,17-Jan-20,ClustalOmega,1,1
ORF1AB,China-Yunnan,17-Jan-20,MUSCLE,0.621,0.732
ORF1AB,China-Yunnan,17-Jan-20,MUSCLE,1,1
ORF1AB,China-Yunnan,17-Jan-20,webPRANK,0.621,0.914
ORF1AB,China-Yunnan,17-Jan-20,webPRANK,1,1
ORF1AB,Finland,29-Jan-20,ClustalOmega,0.619,0.996
ORF1AB,Finland,29-Jan-20,ClustalOmega,0.998,0.998
ORF1AB,Finland,29-Jan-20,MUSCLE,0.619,0.73
ORF1AB,Finland,29-Jan-20,MUSCLE,0.998,0.998
ORF1AB,Finland,29-Jan-20,webPRANK,0.619,0.912
ORF1AB,Finland,29-Jan-20,webPRANK,0.998,0.998
ORF1AB,Japan,10-Feb-20,ClustalOmega,1,1
ORF1AB,Japan,10-Feb-20,MUSCLE,1,1
ORF1AB,Japan,10-Feb-20,webPRANK,1,1
ORF1AB,MERSctrl SaudiArabia,01-May-13,ClustalOmega,0.582,0.317
ORF1AB,MERSctrl SaudiArabia,01-May-13,ClustalOmega,0.959,0.444
ORF1AB,MERSctrl SaudiArabia,01-May-13,MUSCLE,0.585,0.211
ORF1AB,MERSctrl SaudiArabia,01-May-13,MUSCLE,0.962,0.45
ORF1AB,MERSctrl SaudiArabia,01-May-13,webPRANK,0.572,0.218
ORF1AB,MERSctrl SaudiArabia,01-May-13,webPRANK,0.948,0.456
ORF1AB,MERSctrl UnitedArabEmirates,05-Jul-05,ClustalOmega,0.582,0.318
ORF1AB,MERSctrl UnitedArabEmirates,05-Jul-05,ClustalOmega,0.959,0.444
ORF1AB,MERSctrl UnitedArabEmirates,05-Jul-05,MUSCLE,0.585,0.211
ORF1AB,MERSctrl UnitedArabEmirates,05-Jul-05,MUSCLE,0.962,0.45
ORF1AB,MERSctrl UnitedArabEmirates,05-Jul-05,webPRANK,0.572,0.218
ORF1AB,MERSctrl UnitedArabEmirates,05-Jul-05,webPRANK,0.948,0.456
ORF1AB,Nepal,13-Jan-20,ClustalOmega,1,1
ORF1AB,Nepal,13-Jan-20,MUSCLE,1,1
ORF1AB,Nepal,13-Jan-20,webPRANK,1,1
ORF1AB,SouthKorea,01-Jan-20,ClustalOmega,1,1
ORF1AB,SouthKorea,01-Jan-20,MUSCLE,1,1
ORF1AB,SouthKorea,01-Jan-20,webPRANK,1,1
ORF1AB,Sweden,07-Feb-20,ClustalOmega,1,1
ORF1AB,Sweden,07-Feb-20,MUSCLE,1,1
ORF1AB,Sweden,07-Feb-20,webPRANK,1,1
ORF1AB,Taiwan,31-Jan-20,ClustalOmega,1,1
ORF1AB,Taiwan,31-Jan-20,MUSCLE,1,1
ORF1AB,Taiwan,31-Jan-20,webPRANK,1,1
ORF1AB,Taiwan,05-Feb-20,ClustalOmega,1,1
ORF1AB,Taiwan,05-Feb-20,MUSCLE,1,1
ORF1AB,Taiwan,05-Feb-20,webPRANK,1,1
ORF1AB,USA,19-Jan-20,ClustalOmega,1,1
ORF1AB,USA,19-Jan-20,MUSCLE,1,1
